date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
11/11/2022,97,ranked,964,156,no,3,2,Crypto,Newcastle,Bloodhound,1123,1008,1847,1,2,4,2,3978,7,51
11/11/2022,98,ranked,187,-33,no,15,2,Crypto,Pathfinder,Maggie,188,194,63,0,0,1,0,445,1,52
11/11/2022,99,ranked,100,-33,no,14,2,Loba,Crypto,Caustic,343,446,208,1,0,0,0,997,1,53
11/11/2022,100,ranked,66,-34,no,19,2,Crypto,Revenant,Loba,146,120,0,0,0,0,-1,266,0,54
11/11/2022,101,ranked,866,46,no,7,2,Crypto,Catalyst,Wattson,1219,822,1181,4,0,1,0,3222,5,55
11/11/2022,104,ranked,524,-4,no,10,2,Crypto,Catalyst,Vantage,361,318,342,0,0,2,0,1021,2,56
11/11/2022,105,ranked,459,40,no,8,2,Crypto,Fuse,Catalyst,167,731,751,0,2,4,0,1649,6,57
11/11/2022,106,ranked,292,-32,no,11,2,Ashe,Wraith,Lifeline,75,223,139,0,0,0,1,437,0,58
11/11/2022,109,ranked,1086,63,no,6,2,Ashe,Vantage,Rampart,1213,652,671,1,3,3,0,2536,7,59
11/11/2022,110,ranked,334,-35,no,14,2,Ashe,Octane,Rampart,378,199,185,0,1,1,0,762,2,60
11/11/2022,111,ranked,1125,127,no,2,2,Vantage,Caustic,Seer,878,290,168,1,1,1,1,1336,3,61
11/12/2022,112,ranked,461,-12,no,9,2,Vantage,Crypto,Bangalore,0,295,809,0,1,2,0,1104,3,62
11/12/2022,113,ranked,209,-27,no,11,2,Vantage,Seer,Catalyst,175,71,317,1,0,0,1,563,1,63
11/12/2022,114,ranked,738,91,no,6,2,Crypto,Bloodhound,Mirage,1368,796,508,4,2,2,0,2672,8,64
11/13/2022,115,casual,466,0,no,10,2,Fuse,Octane,Ashe,697,0,211,1,0,0,0,908,1,65
11/13/2022,116,casual,1179,0,no,1,2,Fuse,Ashe,Vantage,1469,853,1173,5,2,4,0,3495,11,66
11/13/2022,117,casual,532,0,no,3,2,Ashe,Pathfinder,Horizon,588,1264,1410,3,6,6,1,3262,15,67
11/13/2022,119,casual,91,0,no,18,2,Ashe,Maggie,Bangalore,248,37,150,1,0,1,0,435,2,68
11/13/2022,120,ranked,786,28,no,6,2,Ashe,Pathfinder,Bloodhound,598,970,468,2,1,0,1,2036,3,69
11/13/2022,121,ranked,462,-32,no,10,2,Ashe,Wraith,Octane,164,731,422,0,0,0,1,1317,0,70
11/13/2022,123,ranked,150,-37,no,15,2,Vantage,Pathfinder,Crypto,50,636,219,0,0,0,0,905,0,71
11/13/2022,124,ranked,939,70,no,3,2,Vantage,Catalyst,Mirage,231,448,683,1,2,0,-1,1362,3,72
11/14/2022,125,ranked,478,-37,no,17,2,Vantage,Mirage,Octane,305,24,210,0,0,0,-1,539,0,73
11/14/2022,126,ranked,259,-32,no,12,2,Vantage,Seer,Caustic,494,167,453,1,1,1,1,1114,3,74
11/14/2022,127,ranked,99,-37,no,14,2,Vantage,Crypto,Horizon,241,0,259,1,0,0,1,500,1,75
11/14/2022,128,ranked,1037,138,no,2,2,Vantage,Bloodhound,Lifeline,441,1388,167,1,3,1,1,1996,5,76
11/14/2022,130,ranked,1216,236,yes,1,2,Vantage,Lifeline,Mirage,775,737,655,2,4,2,-1,2167,8,77
11/14/2022,133,ranked,128,-36,no,16,2,Cantage,Bloodhound,Lifeline,60,302,124,0,1,1,1,486,2,78
11/14/2022,136,ranked,242,-37,no,17,2,Fuse,Vantage,Mirage,0,33,144,0,0,0,-1,177,0,79
11/14/2022,137,casual,363,0,yes,13,2,Bangalore,Seer,Caustic,370,193,32,0,0,0,1,595,0,80
11/14/2022,139,casual,84,0,yes,15,2,Pathfinder,Fuse,Caustic,54,242,0,0,0,0,0,296,0,81
11/14/2022,140,casual,273,0,yes,11,2,Pathfinder,Vantage,Bloodhound,366,93,472,0,0,4,1,931,4,82
11/14/2022,142,casual,258,0,yes,9,2,Pathfinder,Ashe,Vantage,639,386,32,3,1,1,0,1057,5,83
11/14/2022,143,casual,389,0,yes,8,2,Maggie,Bangalore,Bloodhound,186,316,775,1,1,2,1,1277,4,84
11/14/2022,144,casual,441,0,yes,6,2,Maggie,Seer,Bangalore,290,894,218,2,4,0,1,1402,6,85
11/14/2022,145,casual,94,0,yes,18,2,Maggie,Bangalore,Crypto,90,25,341,0,0,0,0,456,0,86
11/14/2022,146,ranked,87,-37,no,17,2,Vantage,Bloodhound,Horizon,55,39,820,0,0,3,2,914,3,87
11/14/2022,148,ranked,1170,134,no,4,2,Vantage,Bloodhound,Pathfinder,1459,396,1418,4,0,4,1,3273,8,88
11/14/2022,151,ranked,562,25,yes,10,2,Vantage,Seer,Ashe,596,704,343,4,2,0,1,1643,6,89
11/15/2022,153,ranked,1225,275,no,1,2,Pathfinder,Catalyst,Lifeline,1705,539,994,6,2,1,0,3238,9,90
11/15/2022,154,ranked,422,-32,no,13,2,Crypto,Ashe,Seer,165,341,172,0,0,0,1,678,0,91
11/15/2022,155,ranked,226,-20,no,13,2,Pathfinder,Ashe,Wraith,128,99,154,0,0,0,1,381,0,92
11/15/2022,156,ranked,577,25,no,9,2,Pathfinder,Vantage,Wraith,592,724,320,3,2,1,1,1636,6,93
11/15/2022,157,ranked,918,-13,no,7,2,Pathfinder,Lifeline,Mirage,164,1494,575,0,1,0,-1,2233,1,94
11/15/2022,158,ranked,316,-36,no,15,2,Vantage,Fuse,Bloodhound,548,314,180,1,0,0,1,1042,1,95
11/15/2022,162,ranked,168,-37,no,18,2,Vantage,Valkyrie,Apex,148,42,299,0,0,0,1,489,0,96
11/15/2022,163,ranked,1225,161,no,2,2,Vantage,Loba,Wraith,1501,1091,1335,2,2,4,1,3927,8,97
11/15/2022,164,ranked,903,64,no,5,2,Vantage,Horizon,Ashe,653,771,608,0,3,1,1,2032,4,98
11/15/2022,165,ranked,1316,308,no,2,2,Vantage,Maggie,Lifeline,2002,2142,1644,4,5,5,0,5788,14,99
12/1/2022,190,ranked,266,-43,no,16,2,Vantage,Bangalore,Bloodhound,225,139,197,0,0,0,1,561,0,100
12/1/2022,191,ranked,155,-39,no,16,2,Vantage,Revenant,Seer,130,546,150,0,3,1,0,826,4,101
12/1/2022,192,ranked,1097,57,no,4,2,Catalyst,Fuse,Vantage,990,962,892,0,3,2,0,2844,5,102
12/1/2022,193,ranked,631,-31,no,12,2,Vantage,Bangalore,Caustic,393,383,236,1,0,0,0,1012,1,103
12/2/2022,195,ranked,313,-28,no,13,2,Vantage,Bangalore,Revenant,298,38,580,0,1,2,-1,916,3,104
12/2/2022,196,ranked,724,-33,no,9,2,Vantage,Valkyrie,Horizon,313,190,172,0,0,0,2,675,0,105
12/2/2022,197,ranked,168,-43,no,20,2,Vantage,Bangalore,Horizon,177,114,268,0,0,0,1,559,0,106
12/2/2022,198,ranked,108,-43,no,19,2,Vantage,Ashe,Octane,0,102,184,0,0,0,0,286,0,107
12/2/2022,199,ranked,407,-38,no,12,2,Vantage,Wraith,Fuse,204,163,315,0,0,0,1,682,0,108
12/2/2022,200,ranked,998,-1,no,10,2,Crypto,Bangalore,Pathfinder,840,782,765,1,0,3,0,2387,4,109
12/2/2022,201,ranked,222,-43,no,16,2,Crypto,Lifeline,Ashe,98,14,66,0,0,0,0,178,0,110
12/2/2022,202,ranked,260,-43,no,14,2,Crypto,Valkyrie,Bangalore,14,349,30,0,0,0,1,393,0,111
12/2/2022,203,ranked,1276,219,no,1,2,Crypto,Valkyrie,Octane,1117,1339,437,3,3,0,1,2893,6,112
12/2/2022,204,ranked,171,-43,no,14,2,Crypto,Vantage,Wraith,355,161,44,0,0,0,1,560,0,113
12/2/2022,205,ranked,891,1,no,9,2,Crypto,Bangalore,Ashe,333,303,607,2,0,0,0,1243,2,114
12/2/2022,208,ranked,119,-43,no,18,2,Crypto,Bloodhound,Horizon,75,338,106,0,1,0,2,519,1,115
12/2/2022,209,ranked,122,-42,no,20,2,Pathfinder,Bangalore,Catalyst,261,142,18,1,0,0,0,421,1,116
12/6/2022,212,ranked,655,-13,no,10,2,Crypto,Bangalore,Mirage,513,521,0,1,1,0,-1,1034,2,117
12/6/2022,213,ranked,854,81,no,8,2,Crypto,Newcastle,Seer,571,760,716,3,4,2,2,2047,9,118
12/6/2022,214,ranked,300,-43,no,16,2,Crypto,Gibby,Valkyrie,174,0,103,0,0,0,1,277,0,119
12/6/2022,215,ranked,189,-43,no,19,2,Crypto,Ashe,Horizon,75,214,264,0,0,0,1,553,0,120
12/6/2022,216,ranked,1057,48,no,4,2,Crypto,Pathfinder,Wraith,520,779,1114,0,1,2,1,2413,3,121
12/6/2022,217,ranked,1173,22,no,5,2,Vantage,Fuse,Caustic,507,92,410,0,2,0,0,1009,2,122
12/6/2022,218,ranked,675,87,no,3,2,Vantage,Catalyst,Seer,277,1698,1023,0,2,4,1,2998,6,123
12/6/2022,220,ranked,1253,138,no,2,2,Ashe,Wattson,Vantage,635,335,376,3,1,0,0,1346,4,124
12/6/2022,221,ranked,355,-38,no,13,2,Ashe,Vantage,Lifeline,130,148,144,0,0,0,0,422,0,125
12/6/2022,222,ranked,179,-42,no,18,2,Ashe,Wraith,Vantage,64,695,22,0,1,0,1,781,1,126
12/6/2022,223,ranked,551,-30,no,12,2,Ashe,Loba,Bangalore,208,287,578,1,0,1,0,1073,2,127
12/6/2022,224,ranked,206,-38,no,13,2,Ashe,Bangalore,Octane,215,99,146,0,0,0,0,460,0,128
12/6/2022,226,ranked,402,-26,no,11,2,Valkyrie,Wraith,Maggie,363,485,318,1,2,0,2,1166,3,129
12/7/2022,228,ranked,1285,287,no,3,2,Crypto,Bangalore,Octane,1109,1660,1127,3,0,5,0,3896,8,130
12/7/2022,229,ranked,646,-36,no,10,2,Crypto,Caustic,Bangalore,0,212,190,0,0,0,0,402,0,131
12/7/2022,230,ranked,971,63,no,5,2,Crypto,Horizon,Octane,1071,659,797,1,2,1,1,2527,4,132
12/7/2022,232,ranked,1203,334,no,2,2,Crypto,Maggie,Bangalore,2426,1569,1217,6,8,2,0,5212,16,133
12/7/2022,233,ranked,970,134,no,3,2,Crypto,Bloodhound,Bangalore,608,993,748,3,3,0,1,2349,6,134
