date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
1/14/2023,479,ranked,262,-37,no,11,2,Vantage,Revenant,Bangalore,386,307,396,0,3,1,-1,1089,4,220
1/14/2023,481,ranked,228,-51,no,15,2,Vantage,Horizon,Bloodhound,148,340,111,0,1,0,2,599,1,221
1/14/2023,482,ranked,740,-20,no,7,2,Vantage,Mirage,Octane,488,332,133,1,0,0,-1,953,1,222
1/14/2023,484,ranked,1197,373,no,1,2,Vantage,Pathfinder,Lifeline,1456,2180,2018,5,5,5,0,5654,15,223
1/15/2023,485,ranked,1059,-10,no,9,2,Vantage,Bangalore,Bloodhound,737,1751,1065,1,4,2,1,3553,7,224
1/15/2023,486,ranked,386,-55,no,14,2,Vantage,Gibraltar,Wraith,172,163,250,0,0,0,2,585,0,225
1/15/2023,488,ranked,1179,224,no,2,2,Vantage,Valkyrie,Octane,1155,1504,1232,3,3,4,1,3891,10,226
1/15/2023,491,ranked,113,-55,no,17,2,Vantage,Horizon,Seer,0,0,253,0,0,0,2,253,0,227
1/15/2023,492,ranked,444,-38,no,11,2,Vantage,Bangalore,Octane,429,36,609,1,0,2,0,1074,3,228
1/15/2023,495,ranked,958,28,no,3,2,Vantage,Bangalore,Rampart,489,632,589,0,0,1,0,1710,1,229
1/15/2023,496,ranked,1300,112,no,2,2,Vantage,Pathfinder,Bloodhound,1258,857,2022,1,0,3,1,4137,4,230
1/15/2023,497,ranked,1022,125,no,3,2,Maggie,Crypto,Ashe,1021,362,657,3,0,4,0,2040,7,231
1/15/2023,498,ranked,81,-55,no,18,2,Maggie,Horizon,Octane,61,61,45,0,0,0,1,167,0,232
1/15/2023,499,ranked,1187,55,no,3,2,Maggie,Bloodhound,Wraith,416,911,893,1,0,2,2,2220,3,233
